"Hora Unix";"Hora Local";"Distancia";"Ticks";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
1736429058.581582;"2025-01-09 10:24:18.581582";"000.01";0;" ";" ";" "
1736429058.614339;"2025-01-09 10:24:18.614339";"000.01";0;" ";" ";" "
1736429058.643434;"2025-01-09 10:24:18.643434";"000.01";0;" ";" ";" "
1736429058.673263;"2025-01-09 10:24:18.673263";"000.01";0;" ";" ";" "
1736429058.703509;"2025-01-09 10:24:18.703509";"000.01";0;" ";" ";" "
1736429058.734126;"2025-01-09 10:24:18.734126";"000.01";0;" ";" ";" "
1736429058.763411;"2025-01-09 10:24:18.763411";"000.01";0;" ";" ";" "
1736429058.793383;"2025-01-09 10:24:18.793383";"000.01";0;" ";" ";" "
1736429058.861953;"2025-01-09 10:24:18.861953";"000.01";0;" ";" ";" "
1736429058.891514;"2025-01-09 10:24:18.891514";"000.01";0;" ";" ";" "
1736429058.921232;"2025-01-09 10:24:18.921232";"000.01";0;" ";" ";" "
1736429058.950399;"2025-01-09 10:24:18.950399";"000.01";0;" ";" ";" "
1736429058.980869;"2025-01-09 10:24:18.980869";"000.01";0;" ";" ";" "
1736429059.010149;"2025-01-09 10:24:19.010149";"000.01";0;" ";" ";" "
1736429059.040201;"2025-01-09 10:24:19.040201";"000.01";0;" ";" ";" "
1736429059.06954;"2025-01-09 10:24:19.069540";"000.01";0;" ";" ";" "
1736429059.112248;"2025-01-09 10:24:19.112248";"000.01";0;" ";" ";" "
1736429059.141669;"2025-01-09 10:24:19.141669";"000.01";0;" ";" ";" "
1736429059.171684;"2025-01-09 10:24:19.171684";"000.01";0;" ";" ";" "
1736429059.20205;"2025-01-09 10:24:19.202050";"000.01";0;" ";" ";" "
1736429059.231379;"2025-01-09 10:24:19.231379";"000.01";0;" ";" ";" "
1736429059.262566;"2025-01-09 10:24:19.262566";"000.01";0;" ";" ";" "
1736429059.291611;"2025-01-09 10:24:19.291611";"000.01";0;" ";" ";" "
1736429059.321169;"2025-01-09 10:24:19.321169";"000.01";0;" ";" ";" "
1736429059.350927;"2025-01-09 10:24:19.350927";"000.01";0;" ";" ";" "
1736429059.379886;"2025-01-09 10:24:19.379886";"000.01";0;" ";" ";" "
1736429059.409863;"2025-01-09 10:24:19.409863";"000.01";0;" ";" ";" "
1736429059.440068;"2025-01-09 10:24:19.440068";"000.01";0;" ";" ";" "
1736429059.469181;"2025-01-09 10:24:19.469181";"000.01";0;" ";" ";" "
1736429059.499692;"2025-01-09 10:24:19.499692";"000.01";0;" ";" ";" "
