"Hora UNIX";"Distancia";"Ticks";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"-9";" ";" ";" "
1736197735;"+0000.00";"";" ";" ";" "
1736197736;"+0000.00";"-9";" ";" ";" "
1736197736;"+0000.00";"-9";" ";" ";" "
1736197736;"+0000.00";"-9";" ";" ";" "
1736197736;"+0000.00";"";" ";" ";" "
1736197736;"+0000.00";"-9";" ";" ";" "
1736197736;"+0000.00";"-9";" ";" ";" "
1736197736;"+0000.00";"";" ";" ";" "
1736197736;"+0000.00";"-9";" ";" ";" "
1736197736;"+0000.00";"-9";" ";" ";" "
1736197736;"+0000.00";"-9";" ";" ";" "
