"Hora";"Distancia";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
"10:10:38.176231";"000.01";" ";" ";" "
"10:10:38.205364";"000.01";" ";" ";" "
"10:10:38.235035";"000.01";" ";" ";" "
"10:10:38.265114";"000.01";" ";" ";" "
"10:10:38.295931";"000.01";" ";" ";" "
"10:10:38.325725";"000.01";" ";" ";" "
"10:10:38.355673";"000.01";" ";" ";" "
"10:10:38.385743";"000.01";" ";" ";" "
"10:10:38.415259";"000.01";" ";" ";" "
"10:10:38.444831";"000.01";" ";" ";" "
"10:10:38.474076";"000.01";" ";" ";" "
"10:10:38.503063";"000.01";" ";" ";" "
"10:10:38.532400";"000.01";" ";" ";" "
"10:10:38.562305";"000.01";" ";" ";" "
"10:10:38.592981";"000.01";" ";" ";" "
"10:10:38.622397";"000.01";" ";" ";" "
"10:10:38.652176";"000.01";" ";" ";" "
"10:10:38.682003";"000.01";" ";" ";" "
"10:10:38.712036";"000.01";" ";" ";" "
"10:10:38.741120";"000.01";" ";" ";" "
"10:10:38.770454";"000.01";" ";" ";" "
"10:10:38.800693";"000.01";" ";" ";" "
"10:10:38.830191";"000.01";" ";" ";" "
"10:10:38.859477";"000.01";" ";" ";" "
"10:10:38.889455";"000.01";" ";" ";" "
"10:10:38.919822";"000.01";" ";" ";" "
"10:10:38.950540";"000.01";" ";" ";" "
"10:10:38.979633";"000.01";" ";" ";" "
"10:10:39.009146";"000.01";" ";" ";" "
"10:10:39.039027";"000.01";" ";" ";" "
"10:10:39.068872";"000.01";" ";" ";" "
"10:10:39.098972";"000.01";" ";" ";" "
"10:10:39.128226";"000.01";" ";" ";" "
"10:10:39.157202";"000.01";" ";" ";" "
"10:10:39.187020";"000.01";" ";" ";" "
"10:10:39.217108";"000.01";" ";" ";" "
"10:10:39.247362";"000.01";" ";" ";" "
"10:10:39.276395";"000.01";" ";" ";" "
"10:10:39.305684";"000.01";" ";" ";" "
"10:10:39.334824";"000.01";" ";" ";" "
"10:10:39.364314";"000.01";" ";" ";" "
"10:10:39.423102";"000.01";" ";" ";" "
"10:10:39.452856";"000.01";" ";" ";" "
"10:10:39.482089";"000.01";" ";" ";" "
"10:10:39.513401";"000.01";" ";" ";" "
"10:10:39.543149";"000.01";" ";" ";" "
"10:10:39.572323";"000.01";" ";" ";" "
"10:10:39.601698";"000.01";" ";" ";" "
"10:10:39.631338";"000.01";" ";" ";" "
"10:10:39.661003";"000.01";" ";" ";" "
"10:10:39.690573";"000.01";" ";" ";" "
"10:10:39.720255";"000.01";" ";" ";" "
"10:10:39.749992";"000.01";" ";" ";" "
"10:10:39.779421";"000.01";" ";" ";" "
"10:10:39.809286";"000.01";" ";" ";" "
"10:10:39.838375";"000.01";" ";" ";" "
"10:10:39.869389";"000.01";" ";" ";" "
"10:10:39.899134";"000.01";" ";" ";" "
"10:10:39.927785";"000.01";" ";" ";" "
"10:10:39.958553";"000.01";" ";" ";" "
"10:10:39.987482";"000.01";" ";" ";" "
"10:10:40.016555";"000.01";" ";" ";" "
"10:10:40.045754";"000.01";" ";" ";" "
"10:10:40.074893";"000.01";" ";" ";" "
"10:10:40.104951";"000.01";" ";" ";" "
"10:10:40.135097";"000.01";" ";" ";" "
"10:10:40.164016";"000.01";" ";" ";" "
"10:10:40.194623";"000.01";" ";" ";" "
"10:10:40.223798";"000.01";" ";" ";" "
"10:10:40.253933";"000.01";" ";" ";" "
"10:10:40.282471";"000.01";" ";" ";" "
"10:10:40.311678";"000.01";" ";" ";" "
"10:10:40.340960";"000.01";" ";" ";" "
"10:10:40.370224";"000.01";" ";" ";" "
"10:10:40.400241";"000.01";" ";" ";" "
"10:10:40.429968";"000.01";" ";" ";" "
"10:10:40.459874";"000.01";" ";" ";" "
"10:10:40.489564";"000.01";" ";" ";" "
"10:10:40.519318";"000.01";" ";" ";" "
"10:10:40.549413";"000.01";" ";" ";" "
"10:10:40.578184";"000.01";" ";" ";" "
"10:10:40.607697";"000.01";" ";" ";" "
"10:10:40.637054";"000.01";" ";" ";" "
"10:10:40.666410";"000.01";" ";" ";" "
"10:10:40.695487";"000.01";" ";" ";" "
"10:10:40.724716";"000.01";" ";" ";" "
"10:10:40.754447";"000.01";" ";" ";" "
"10:10:40.785095";"000.01";" ";" ";" "
"10:10:40.814452";"000.01";" ";" ";" "
"10:10:40.844451";"000.01";" ";" ";" "
"10:10:40.873803";"000.01";" ";" ";" "
"10:10:40.903361";"000.01";" ";" ";" "
"10:10:40.932907";"000.01";" ";" ";" "
"10:10:40.962568";"000.01";" ";" ";" "
"10:10:40.991623";"000.01";" ";" ";" "
