"Hora UNIX";"Distancia";"Ticks";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
1736262505;"-0004.76";"0";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262505;"-0004.76";"";" ";" ";" "
1736262505;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67457";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67471";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67563";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67631";" ";" ";" "
1736262506;"-0004.76";"-67668";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67702";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67730";" ";" ";" "
1736262506;"-0004.76";"-67774";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67795";" ";" ";" "
1736262506;"-0004.76";"-67816";" ";" ";" "
1736262506;"-0004.76";"";" ";" ";" "
1736262506;"-0004.76";"-67857";" ";" ";" "
1736262507;"-0004.76";"-67883";" ";" ";" "
1736262507;"-0004.76";"";" ";" ";" "
1736262507;"-0004.76";"-67898";" ";" ";" "
1736262507;"-0004.76";"";" ";" ";" "
1736262507;"-0004.76";"-67922";" ";" ";" "
1736262507;"-0004.76";"-67940";" ";" ";" "
