"Hora UNIX";"Distancia";"Ticks";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"";" ";" ";" "
1736193481;"-0076.53";"-670578";" ";" ";" "
1736193481;"-0076.53";"";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"-670578";" ";" ";" "
1736193482;"-0076.53";"";" ";" ";" "
1736193482;"-0076.55";"-670808";" ";" ";" "
1736193482;"-0076.55";"";" ";" ";" "
1736193482;"-0076.55";"";" ";" ";" "
1736193482;"-0076.55";"";" ";" ";" "
1736193482;"-0076.55";"-671200";" ";" ";" "
1736193482;"-0076.55";"";" ";" ";" "
1736193482;"-0076.55";"-671456";" ";" ";" "
1736193482;"-0076.55";"";" ";" ";" "
1736193482;"-0076.55";"-671664";" ";" ";" "
1736193482;"-0076.55";"-671944";" ";" ";" "
1736193482;"-0076.55";"";" ";" ";" "
1736193482;"-0076.55";"-672428";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"-673132";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"-673489";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"-673894";" ";" ";" "
1736193483;"-0076.55";"-674241";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"-674633";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"-674944";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"-675208";" ";" ";" "
1736193483;"-0076.55";"-675541";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"-675778";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0076.55";"-676063";" ";" ";" "
1736193483;"-0076.55";"";" ";" ";" "
1736193483;"-0077.20";"-676408";" ";" ";" "
1736193483;"-0077.20";"";" ";" ";" "
1736193483;"-0077.20";"";" ";" ";" "
1736193483;"-0077.20";"";" ";" ";" "
1736193483;"-0077.20";"-677115";" ";" ";" "
1736193483;"-0077.20";"-677443";" ";" ";" "
1736193483;"-0077.20";"";" ";" ";" "
1736193483;"-0077.20";"-678113";" ";" ";" "
1736193483;"-0077.20";"";" ";" ";" "
1736193483;"-0077.20";"-678529";" ";" ";" "
1736193483;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-678798";" ";" ";" "
1736193484;"-0077.20";"-679446";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-679727";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-680000";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-680395";" ";" ";" "
1736193484;"-0077.20";"-680731";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-681314";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-681872";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-682200";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-682587";" ";" ";" "
1736193484;"-0077.20";"-682911";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-683202";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0077.20";"-683600";" ";" ";" "
1736193484;"-0077.20";"";" ";" ";" "
1736193484;"-0078.07";"-684081";" ";" ";" "
1736193484;"-0078.07";"";" ";" ";" "
1736193484;"-0078.07";"";" ";" ";" "
1736193484;"-0078.07";"";" ";" ";" "
1736193484;"-0078.07";"-685090";" ";" ";" "
1736193484;"-0078.07";"-685610";" ";" ";" "
1736193484;"-0078.07";"";" ";" ";" "
1736193484;"-0078.07";"-686187";" ";" ";" "
1736193484;"-0078.07";"";" ";" ";" "
1736193484;"-0078.07";"-686435";" ";" ";" "
1736193484;"-0078.07";"";" ";" ";" "
1736193485;"-0078.07";"-686797";" ";" ";" "
1736193485;"-0078.07";"";" ";" ";" "
1736193485;"-0078.07";"-687256";" ";" ";" "
1736193485;"-0078.07";"-687799";" ";" ";" "
1736193485;"-0078.07";"";" ";" ";" "
1736193485;"-0078.07";"-688527";" ";" ";" "
1736193485;"-0078.07";"";" ";" ";" "
1736193485;"-0078.07";"-689360";" ";" ";" "
1736193485;"-0078.07";"";" ";" ";" "
1736193485;"-0078.07";"-689961";" ";" ";" "
1736193485;"-0078.07";"-690380";" ";" ";" "
1736193485;"-0078.07";"";" ";" ";" "
1736193485;"-0078.07";"-690887";" ";" ";" "
1736193485;"-0078.07";"";" ";" ";" "
1736193485;"-0078.07";"-691322";" ";" ";" "
1736193485;"-0078.07";"";" ";" ";" "
